Expected Value,Stochastic 5 scenarios,Stochastic 20 scenarios,Stochastic 50 scenarios,OiH
249.63919344246142,247.38578671835822,253.03836424822123,246.37085608212905,226.82018634188887
178.6778027693695,304.69997996815727,303.45183704014966,303.8951494795532,155.83760969387458
230.73332055651738,271.9520478082107,274.0612138512546,273.1289321095545,202.13730785203114
356.11847746750436,363.78452651984605,363.1163693379751,363.3486306178951,399.329539061891
345.1340229221994,356.2166045526388,354.3747453152229,356.24731618369924,397.6661900950201
289.4919186154254,322.12536230663886,324.82791939891194,323.74170787772266,221.63616295164587
395.85517713201807,330.47215041286506,332.83046440608575,332.00268648571745,305.1078961044193
306.1609406462852,343.0311017445767,343.1149622066721,340.3984742317333,325.7291065695308
270.16353059202476,268.2113970334472,269.38511969267967,268.89245039675933,218.82095288695353
209.52546505589268,286.83645864328264,288.36951414062094,287.61830229342513,237.10275739925865
255.7610354247418,319.1068876945479,318.0357746042347,321.8345369741621,213.8445079215332
378.7448736069671,268.6882219032293,268.9560133892081,268.69316035656294,228.00372112369803
374.5356681618474,301.6221907548753,303.5289332958045,300.24091795935294,278.12296809978267
263.5123496157591,364.99939648727883,365.3131703402659,366.783053162036,368.04957488795367
375.68857951833417,339.66988423582563,337.8444191918784,339.6989917270017,398.9635259551989
242.76585639704874,321.339065725163,321.22184217701147,324.09155902380166,211.88444540508902
264.0414852612429,329.2653203421978,329.1519865338429,329.4060569865014,286.2906650402376
314.5974587313038,330.56773298018203,329.79513771773554,328.1137549920553,316.73955244592327
355.3802239949056,341.9074122578277,339.53618911955994,339.0593481558311,317.14980448574363
281.8985955195887,338.3177382929107,339.34884029158616,340.67351601749186,314.8695985748132
277.80147010089854,326.71045166450256,325.89761353948234,328.67780551394475,293.862266533
241.91518757483095,278.2135064403354,275.41061130499423,274.8172709511504,144.91554774793352
321.56741688802333,321.5206273764166,322.931703242682,321.5348815939615,304.2512984162247
