Expected Value,Stochastic 5 scenarios,Stochastic 20 scenarios,Stochastic 50 scenarios,OiH
276.7536391310486,353.25274640845043,352.13961454286823,352.9792301617184,273.74607592784287
398.10512662873714,295.62380812037355,294.90798900481695,297.0835635418109,270.1863325528354
241.45923814929836,338.66150881198746,340.72570751063495,339.1919124017253,308.1326909867794
368.0955135354959,361.5053461859433,362.7622940032654,361.09252071007097,322.6576433421666
253.8882553065847,274.65547787262744,276.3547800580598,271.1286247883761,100.53357856529918
315.6255201464535,318.4846438210785,316.73787432662186,317.3934067609539,300.95261126584404
437.0850924468086,317.86864917255514,318.67765491491184,314.68014568652086,328.42830987950094
367.5541433782053,333.5594424816459,334.0510947681015,334.34555925447677,341.7774047635974
345.60874093846235,337.7258569294794,335.5263811241181,336.68072070398676,352.34322222731294
311.48219921873715,346.34005415896695,344.5439935874155,344.80444029070077,347.8007394978898
367.81455044524773,320.93872602910255,318.1814624462568,320.2041241129857,261.52397982078224
335.00045440915665,297.34645540833543,297.70679586853146,296.12895555075374,237.42699888250462
345.122249443083,306.4812490906123,307.78744117594755,308.88864124924675,252.34149193882206
316.9805394776837,322.8387197501336,322.4317752657721,321.8206355980531,312.2498394088712
353.87882854571126,328.12304296862106,328.8324850960689,326.70214818421834,357.52891803140176
203.7734559490185,262.147610990301,263.9094117219911,262.6055101892825,196.9557153532764
289.3519523210507,284.1868347930232,285.4085478134329,287.76286405621386,246.54054792389502
280.3708303486606,315.25557169065087,313.15780380242944,314.34781966092373,272.49125024777584
307.92700105648805,301.2285998450311,302.6307803007265,299.0756010585616,325.3946791255009
308.8421143025748,361.2915458654428,363.67016488760015,360.749071723033,354.029848496363
280.8093673396462,324.659018757878,323.6248862932258,324.54206193196137,327.1870384347783
245.23740644258083,296.62021998818733,294.90335361529617,295.5845215202104,246.97350010810487
352.93200864576113,318.5021805803379,317.4676738897906,319.4285289894553,268.1780939227052
298.2985695068311,303.4281958322914,303.89805262691584,301.4899986533296,293.1017016714321
284.22038508979426,283.94172657018885,280.9648384061552,286.2425725205468,239.1581176566756
346.9247672111394,342.77731257829197,338.85932342983364,339.7329843426784,346.2976766201948
324.8843328738363,312.85278788327025,315.96373240489754,314.4496234256841,293.70545886567334
251.05769011695855,304.36797624586006,302.0885234108124,303.80082155501884,182.6732665637076
368.27724142922006,322.4727113535244,324.10903629962,322.30069822594896,293.04608711560815
286.30081570162895,340.9367115142361,340.14320110765317,342.2911204037307,362.51553542639806
338.85532505831185,277.59617434970613,277.85752147626147,278.1027133096757,231.30525546214918
281.2931801647178,279.05482238336356,280.96963223383597,277.3523139488559,202.4415449084594
128.4312366462569,318.2186476786233,317.78451325480324,314.5239644072486,337.92698504973816
330.33066233663493,345.7365752828208,344.3249526786394,346.0256258755236,305.6988019169996
284.1934821142697,333.81927011279527,333.9041003953938,332.2083223765659,304.10614535205866
